商家订单号,贷款单号,首付款单号,贷款用户pin,商家名称,商家商户号,贷款总金额,首付款应付金额,首付款实付金额,付款状态
201411226654	,2014120410013201	,201412041001320100	,yy-test4,测试商户号-勿删,1000000001	,6418.0100,0.0100,0.0000,还款成功
2014112233221	,2014120410013204	,201412041001320400	,yy-test4,测试商户号-勿删,1000000001	,3418.0100,0.0100,0.0000,还款成功
201412161506	,2014121610017028	,201412161001702800	,yy-test4,测试商户号-勿删,1000000001	,30000.0100,0.0200,0.0000,还款成功
20141216150612	,2014121610017029	,201412161001702900	,yy-test4,测试商户号-勿删,1000000001	,30000.0100,0.0100,0.0000,还款成功
2014121615061212	,2014121610017030	,201412161001703000	,yy-test4,测试商户号-勿删,1000000001	,30000.0100,0.0100,0.0000,还款成功
201412041821	,2014120410013211	,201412041001321100	,yy-test4,测试商户号-勿删,1000000001	,7000.0000,13000.0000,0.0000,待还款
20141124432	,2014120410013214	,201412041001321400	,yy-test4,测试商户号-勿删,1000000001	,3990.0000,3000.0100,0.0000,待还款
201411412041826003	,2014120410013215	,201412041001321500	,yy-test4,测试商户号-勿删,1000000001	,3990.0000,16010.0000,0.0000,待还款
20141122140600001414	,2014120410013217	,201412041001321700	,yy-test4,测试商户号-勿删,1000000001	,6980.0000,13020.0000,0.0000,待还款
201411233221	,2014120410013219	,201412041001321900	,yy-test4,测试商户号-勿删,1000000001	,6970.0000,0.0100,0.0100,还款成功
201421221406	,2014120410013220	,201412041001322000	,yy-test4,测试商户号-勿删,1000000001	,6970.0000,13030.0000,0.0000,待还款
201412161506112	,2014121610017034	,201412161001703400	,yy-test4,测试商户号-勿删,1000000001	,29995.0100,0.0100,0.0100,还款成功
20141122185210110	,2014120410013221	,201412041001322100	,yy-test4,测试商户号-勿删,1000000001	,0.0000,10.0000,0.0000,待还款
201411221852101101111	,2014120410013222	,201412041001322200	,yy-test4,测试商户号-勿删,1000000001	,0.0000,10.0000,0.0000,待还款
201431221406	,2014120410013223	,201412041001322300	,yy-test4,测试商户号-勿删,1000000001	,0.0000,200.0000,0.0000,待还款
2014121615061121124	,2014121610017035	,201412161001703500	,yy-test4,测试商户号-勿删,1000000001	,9999.0100,0.0100,0.0100,还款成功
201411244432	,2014120410013232	,201412041001323200	,yy-test4,测试商户号-勿删,1000000001	,9980.0000,0.0100,0.0100,还款成功
201412161406124	,2014121610017036	,201412161001703600	,yy-test4,测试商户号-勿删,1000000001	,88888.0100,0.0100,0.0100,还款成功
201412054554412	,2014120410013236	,201412041001323600	,yy-test4,测试商户号-勿删,1000000001	,6970.0100,0.0100,0.0000,还款成功
201411233321	,2014120410013237	,201412041001323700	,yy-test4,测试商户号-勿删,1000000001	,6970.0100,0.0100,0.0100,还款成功
2014112171010110	,2014121710017038	,201412171001703800	,yy-test4,测试商户号-勿删,1000000001	,0.3800,9.6200,0.0000,待还款
201461221406	,2014120510013241	,201412051001324100	,yy-test4,测试商户号-勿删,1000000001	,6460.0100,193539.9900,0.0000,待还款
201450110110210112	,2014121810017043	,201412181001704300	,yy-test4,测试商户号-勿删,1000000001	,99990.0000,10122232.0000,0.0000,待还款
201411221406sssssss	,2014122210017049	,201412221001704900	,yy-test4,测试商户号-勿删,1000000001	,99980.0000,1022122131.0000,0.0000,待还款
201411242406	,2014120510013270	,201412051001327000	,yy-test4,测试商户号-勿删,1000000001	,6258.9300,43741.0700,0.0000,待还款
201411221506	,2014120510013274	,201412051001327400	,yy-test4,测试商户号-勿删,1000000001	,5368.8600,4631.1400,0.0000,待还款
201411225406	,2014120510013275	,201412051001327500	,yy-test4,测试商户号-勿删,1000000001	,5358.8600,4641.1400,0.0000,待还款
20143317121406	,2014120510013281	,201412051001328100	,yy-test4,测试商户号-勿删,1000000001	,9000.0000,1000.0000,0.0000,待还款
201411228885	,2014120210013110	,201412021001311000	,yy-test4,游心网-测试商户号-勿删,1000000001	,10000.0000,10000.0000,0.0000,待还款
201611221406	,2014120210013111	,201412021001311100	,yy-test4,游心网-测试商户号-勿删,1000000001	,10000.0000,10000.0000,0.0000,待还款
201711221406	,2014120310013112	,201412031001311200	,yy-test4,游心网-测试商户号-勿删,1000000001	,10000.0000,10000.0000,0.0000,待还款
201412031000	,2014120310013116	,201412031001311600	,yy-test4,游心网-测试商户号-勿删,1000000001	,9100.0000,10900.0000,0.0000,待还款
201411222223	,2014120310013117	,201412031001311700	,yy-test4,游心网-测试商户号-勿删,1000000001	,9700.0000,10300.0000,0.0000,待还款
2014113333223	,2014120810013319	,201412081001331900	,yy-test4,测试商户号-勿删,1000000001	,8419.0000,0.0100,0.0000,还款成功
201811221406	,2014120310013120	,201412031001312000	,yy-test4,游心网-测试商户号-勿删,1000000001	,9040.0000,10960.0000,0.0000,待还款
20141123321	,2014120310013121	,201412031001312100	,yy-test4,游心网-测试商户号-勿删,1000000001	,9040.0000,10960.0000,0.0000,待还款
201411889	,2014120310013123	,201412031001312300	,yy-test4,游心网-测试商户号-勿删,1000000001	,9040.0000,110960.0000,0.0000,待还款
201911221406	,2014120310013124	,201412031001312400	,yy-test1,游心网-测试商户号-勿删,1000000001	,9040.0000,10960.0000,0.0000,待还款
201411221776	,2014120310013136	,201412031001313600	,yy-test4,游心网-测试商户号-勿删,1000000001	,10000.0000,10000.0000,0.0000,待还款
2014112214442	,2014120310013138	,201412031001313800	,yy-test4,游心网-测试商户号-勿删,1000000001	,8800.0100,0.0100,0.0000,还款成功
2014112255551	,2014120310013139	,201412031001313900	,yy-test4,游心网-测试商户号-勿删,1000000001	,9950.0100,0.0100,0.0000,还款成功
20141203194211	,2014120310013140	,201412031001314000	,yy-test4,游心网-测试商户号-勿删,1000000001	,9950.0100,49.9900,0.0000,待还款
2014112214069991	,2014120310013142	,201412031001314200	,yy-test4,游心网-测试商户号-勿删,1000000001	,9950.0100,0.0100,0.0100,还款成功
201411223332	,2014120310013144	,201412031001314400	,yy-test4,游心网-测试商户号-勿删,1000000001	,9950.0100,10049.9900,0.0000,待还款
201411220091	,2014120310013146	,201412031001314600	,yy-test4,游心网-测试商户号-勿删,1000000001	,9950.0100,0.0100,0.0100,还款成功
201411221111	,2014120310013150	,201412031001315000	,yy-test4,游心网-测试商户号-勿删,1000000001	,9950.0100,10049.9900,0.0000,待还款
201412040950	,2014120410013153	,201412041001315300	,yy-test4,游心网-测试商户号-勿删,1000000001	,9780.0100,10219.9900,0.0000,待还款
201411288866	,2014120410013155	,201412041001315500	,yy-test4,游心网-测试商户号-勿删,1000000001	,9840.0100,10159.9900,0.0000,待还款
20141204103569	,2014120410013159	,201412041001315900	,yy-test4,游心网-测试商户号-勿删,1000000001	,9430.0100,0.0100,0.0000,还款成功
2014112219987	,2014120410013163	,201412041001316300	,yy-test4,测试商户号-勿删,1000000001	,6430.0100,3000.0100,0.0000,待还款
201411229981	,2014120410013165	,201412041001316500	,yy-test4,测试商户号-勿删,1000000001	,6430.0100,0.0100,0.0000,还款成功
202011221406	,2014120410013166	,201412041001316600	,yy-test4,测试商户号-勿删,1000000001	,9430.0100,10569.9900,0.0000,待还款
